Data as of,Start Date,End Date,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Other,Footnote
02/24/2021,01/01/2020,02/20/2021,United States,Count of COVID-19 deaths,"293,868","69,826","5,527","18,196",869,"87,384","3,318",
02/24/2021,01/01/2020,02/20/2021,United States,Distribution of COVID-19 deaths (%),61.4,14.6,1.2,3.8,0.2,18.2,0.7,
02/24/2021,01/01/2020,02/20/2021,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,18.5,2.2,
02/24/2021,01/01/2020,02/20/2021,United States,Weighted distribution of population (%),40.3,13.4,0.4,10,0.2,33.8,2.1,
02/24/2021,01/01/2020,02/20/2021,Alabama,Count of COVID-19 deaths,"6,264","2,603",13,39,,168,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Alabama,Distribution of COVID-19 deaths (%),68.8,28.6,0.1,0.4,,1.8,0.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,4.6,1.6,
02/24/2021,01/01/2020,02/20/2021,Alabama,Weighted distribution of population (%),55.7,36.3,0.4,1.9,0,4.2,1.5,
02/24/2021,01/01/2020,02/20/2021,Alaska,Count of COVID-19 deaths,103,,99,31,15,10,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Alaska,Distribution of COVID-19 deaths (%),37.2,,35.7,11.2,5.4,3.6,4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,7.3,6.8,
02/24/2021,01/01/2020,02/20/2021,Alaska,Weighted distribution of population (%),59.1,5,8.4,8.8,2.4,9,7.3,
02/24/2021,01/01/2020,02/20/2021,Arizona,Count of COVID-19 deaths,"7,015",429,"1,433",283,33,"4,264",271,
02/24/2021,01/01/2020,02/20/2021,Arizona,Distribution of COVID-19 deaths (%),51.1,3.1,10.4,2.1,0.2,31.1,2,
02/24/2021,01/01/2020,02/20/2021,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,31.7,2.1,
02/24/2021,01/01/2020,02/20/2021,Arizona,Weighted distribution of population (%),54.4,5.4,1.8,4.2,0.2,31.8,2.2,
02/24/2021,01/01/2020,02/20/2021,Arkansas,Count of COVID-19 deaths,"4,097",709,33,42,56,208,20,
02/24/2021,01/01/2020,02/20/2021,Arkansas,Distribution of COVID-19 deaths (%),79.3,13.7,0.6,0.8,1.1,4,0.4,
02/24/2021,01/01/2020,02/20/2021,Arkansas,Unweighted distribution of population (%),72,15.4,0.8,1.6,0.4,7.8,2,
02/24/2021,01/01/2020,02/20/2021,Arkansas,Weighted distribution of population (%),63.7,21.3,0.7,2.4,0.4,9.3,2.2,
02/24/2021,01/01/2020,02/20/2021,California,Count of COVID-19 deaths,"16,749","3,146",232,"6,374",281,"23,558",392,
02/24/2021,01/01/2020,02/20/2021,California,Distribution of COVID-19 deaths (%),33,6.2,0.5,12.6,0.6,46.4,0.8,
02/24/2021,01/01/2020,02/20/2021,California,Unweighted distribution of population (%),36.5,5.6,0.4,14.9,0.4,39.4,2.8,
02/24/2021,01/01/2020,02/20/2021,California,Weighted distribution of population (%),28.9,7.2,0.2,14.7,0.3,46.3,2.3,
02/24/2021,01/01/2020,02/20/2021,Colorado,Count of COVID-19 deaths,"3,803",264,70,187,18,"1,445",50,
02/24/2021,01/01/2020,02/20/2021,Colorado,Distribution of COVID-19 deaths (%),65.2,4.5,1.2,3.2,0.3,24.8,0.9,
02/24/2021,01/01/2020,02/20/2021,Colorado,Unweighted distribution of population (%),67.7,4.1,0.6,3.3,0.1,21.8,2.3,
02/24/2021,01/01/2020,02/20/2021,Colorado,Weighted distribution of population (%),64.4,5.4,0.5,3.9,0.2,23.1,2.6,
02/24/2021,01/01/2020,02/20/2021,Connecticut,Count of COVID-19 deaths,"5,142",892,,99,,669,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Connecticut,Distribution of COVID-19 deaths (%),75.1,13,,1.4,,9.8,0.6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Connecticut,Unweighted distribution of population (%),65.9,10.3,0.2,4.8,0,16.9,1.8,
02/24/2021,01/01/2020,02/20/2021,Connecticut,Weighted distribution of population (%),61.5,12.2,0.2,5.3,0,19.1,1.7,
02/24/2021,01/01/2020,02/20/2021,Delaware,Count of COVID-19 deaths,888,252,,12,0,50,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Delaware,Distribution of COVID-19 deaths (%),73.5,20.9,,1,0,4.1,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Delaware,Unweighted distribution of population (%),61.7,22,0.3,4,0,9.6,2.3,
02/24/2021,01/01/2020,02/20/2021,Delaware,Weighted distribution of population (%),60.2,22.7,0.3,4.6,0,10,2.3,
02/24/2021,01/01/2020,02/20/2021,District of Columbia,Count of COVID-19 deaths,164,807,,23,0,175,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,District of Columbia,Distribution of COVID-19 deaths (%),14,68.7,,2,0,14.9,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
