Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,237,245,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,"1,129","1,148",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,"3,014","3,070",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,"8,959","9,180",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,"22,558","23,094",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,"40,273","41,112",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,"49,346","50,115",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,"47,977","48,427",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,5,5,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,"173,498","176,396",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,37,39,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,117,117,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,258,264,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,832,853,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,"3,313","3,455",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,"8,296","8,620",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,"11,539","11,979",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,"10,320","10,595",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,"34,713","35,923",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,111,111,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,425,425,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,"1,151","1,151",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,"3,372","3,372",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,"7,671","7,671",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,"11,805","11,805",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,"10,842","10,842",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,"7,450","7,450",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,2,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,"42,829","42,829",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,0-24,198,206,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,25-34,815,827,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,35-44,"2,227","2,259",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,45-54,"6,856","6,961",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,55-64,"17,772","18,115",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,65-74,"33,454","34,288",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,75-84,"41,695","42,807",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,85+,"39,449","40,255",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,Not stated,3,3,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory failure,J96,All Ages,"142,469","145,721",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,14,14,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,51,51,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,126,126,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,347,347,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,884,884,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,"1,640","1,640",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,"2,273","2,273",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,85+,"2,933","2,933",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,"8,268","8,268",
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,38,40,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,114,122,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,291,304,
