Lat,Long_,Confirmed,Deaths,Active,NavajoR,ConfirmedLOG,DeathsLOG
35.39465006,-109.4892383,9854,326,9528,1,9.195632743,5.786897381
31.87934684,-109.7516088,10602,238,10364,0,9.268797942,5.472270674
35.83883429,-111.7707178,15675,288,15387,1,9.659822366,5.66296048
33.80190085,-110.8132779,6159,199,5960,0,8.725669706,5.293304825
32.93166885,-109.8882178,5158,69,5089,0,8.548304186,4.234106505
33.21498827,-109.2405279,536,6,530,0,6.284134161,1.791759469
33.72854224,-113.9810029,2300,65,2235,0,7.740664402,4.17438727
33.34835867,-112.4918154,487042,7971,479071,0,13.09610564,8.983565234
35.70471703,-113.7577902,20113,565,19548,0,9.909121651,6.336825731
35.3997715,-110.3218983,14907,449,14458,1,9.60958618,6.107022888
32.0971334,-111.7890033,104675,1904,102771,0,11.55861559,7.551712215
32.90525627,-111.3449483,43825,662,43163,0,10.68795971,6.495265556
31.52508998,-110.8479088,7510,159,7351,0,8.923990745,5.068904202
34.59933926,-112.5538588,16548,412,16136,0,9.714020528,6.021023349
32.76895712,-113.9066674,35729,735,34994,0,10.48371796,6.599870499
35.05163625,-106.6703554,50237,790,49447,0,10.82450709,6.672032945
33.91514144,-108.4046587,73,4,69,0,4.290459441,1.386294361
33.36406072,-104.4665365,8343,134,8209,0,9.029178143,4.8978398
34.91131525,-107.998876,2643,100,2543,0,7.879669915,4.605170186
36.60569702,-104.6472674,675,44,631,0,6.514712691,3.784189634
34.57421077,-103.3468876,4786,61,4725,0,8.473450268,4.110873864
32.35275771,-106.8329387,21553,363,21190,0,9.978270297,5.894402834
32.47167456,-104.3053527,6125,102,6023,0,8.720134035,4.624972813
32.73911281,-108.3827845,1355,31,1324,0,7.211556733,3.433987204
34.86319296,-104.790669,339,9,330,0,5.826000107,2.197224577
31.91383467,-108.7151824,330,9,321,0,5.799092654,2.197224577
32.79215361,-103.4123733,7913,128,7785,0,8.976262256,4.852030264
33.74526079,-105.4586166,1466,15,1451,0,7.290292882,2.708050201
35.86631386,-106.3134985,459,3,456,0,6.12905021,1.098612289
32.18179341,-107.7508826,2999,61,2938,0,8.006034179,4.110873864
35.5800772,-108.262245,11736,421,11315,1,9.37041632,6.042632834
36.01095101,-104.9497716,150,6,144,0,5.010635294,1.791759469
32.61348406,-105.7417604,2989,50,2939,0,8.002694162,3.912023005
35.10403332,-103.5481727,403,8,395,0,5.998936562,2.079441542
36.51072137,-106.6931674,3275,57,3218,0,8.094073148,4.043051268
34.02097406,-103.4799493,1796,45,1751,0,7.493317249,3.80666249
36.50838318,-108.320437,13176,400,12776,1,9.486152272,5.991464547
35.48014807,-104.8163562,1149,9,1140,0,7.046647278,2.197224577
35.68862401,-106.8687803,10386,183,10203,0,9.248214024,5.209486153
35.50708973,-105.9774716,9325,124,9201,0,9.140454245,4.820281566
33.13028233,-107.1925893,675,43,632,0,6.514712691,3.761200116
34.00715494,-106.9298354,1165,47,1118,0,7.060476366,3.850147602
36.58006022,-105.6310198,1468,46,1422,0,7.291656209,3.828641396
34.64048375,-105.8508949,610,12,598,0,6.413458957,2.48490665
36.48126404,-103.4709624,212,8,204,0,5.356586275,2.079441542
34.71669834,-106.8103733,5919,86,5833,0,8.685922795,4.454347296
