AIANNHCE,AIANNHNAME
0010,Acoma Pueblo and Off-Reservation Trust Land
0020,Agua Caliente Indian Reservation and Off-Reservation Trust Land
0050,Alabama-Coushatta Reservation and Off-Reservation Trust Land
0080,Allegany Reservation
0095,Alturas Indian Rancheria
0110,Annette Island Reserve
0115,Aroostook Band of Micmac Trust Land
0120,Auburn Rancheria and Off-Reservation Trust Land
0125,Augustine Reservation
0140,Bad River Reservation
0155,Barona Reservation
0165,Battle Mountain Reservation
0170,Bay Mills Reservation and Off-Reservation Trust Land
0185,Benton Paiute Reservation and Off-Reservation Trust Land
0200,Berry Creek Rancheria and Off-Reservation Trust Land
0215,Big Bend Rancheria
0225,Big Cypress Reservation
0240,Big Lagoon Rancheria
0250,Big Pine Reservation
0265,Big Sandy Rancheria
0275,Big Valley Rancheria
0290,Bishop Reservation
0305,Blackfeet Indian Reservation and Off-Reservation Trust Land
0325,Blue Lake Rancheria and Off-Reservation Trust Land
0335,Bois Forte Reservation
0350,Bridgeport Reservation
0360,Brighton Reservation
0400,Burns Paiute Indian Colony and Off-Reservation Trust Land
0415,Cabazon Reservation
0435,Cahuilla Reservation
0440,Campbell Ranch
0450,Campo Indian Reservation
0495,Capitan Grande Reservation
0510,Carson Colony
0525,Catawba Reservation
0540,Cattaraugus Reservation
0555,Cedarville Rancheria and Off-Reservation Trust Land
0560,Celilo Village
0575,Chehalis Reservation and Off-Reservation Trust Land
0585,Chemehuevi Reservation
0605,Cheyenne River Reservation and Off-Reservation Trust Land
0620,Chicken Ranch Rancheria and Off-Reservation Trust Land
0635,Chitimacha Reservation
0680,Pueblo de Cochiti
0690,Coconut Creek Trust Land
0695,Cocopah Reservation
0705,Coeur d'Alene Reservation
0720,Cold Springs Rancheria
0735,Colorado River Indian Reservation
0750,Colusa Rancheria
0760,Colville Reservation and Off-Reservation Trust Land
0770,Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land
0775,Coquille Reservation
0780,Cortina Indian Rancheria
0795,Coushatta Reservation and Off-Reservation Trust Land
0815,Cow Creek Reservation and Off-Reservation Trust Land
0825,Coyote Valley Reservation
0845,Crow Reservation and Off-Reservation Trust Land
0855,Crow Creek Reservation
0940,Dresslerville Colony
0955,Dry Creek Rancheria
0965,Duck Valley Reservation
0975,Duckwater Reservation
0990,Eastern Cherokee Reservation
1005,Elko Colony
1010,Elk Valley Rancheria and Off-Reservation Trust Land
1040,Ely Reservation
1055,Enterprise Rancheria
1065,Ewiiaapaayp Reservation
1070,Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land
1075,Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land
1100,Flandreau Reservation
1110,Flathead Reservation
1125,Fond du Lac Reservation and Off-Reservation Trust Land
1135,Forest County Potawatomi Community and Off-Reservation Trust Land
1140,Fort Apache Reservation
1150,Fort Belknap Reservation and Off-Reservation Trust Land
1160,Fort Berthold Reservation
1170,Fort Bidwell Reservation and Off-Reservation Trust Land
1185,Fort Hall Reservation and Off-Reservation Trust Land
1195,Fort Independence Reservation
1210,Fort McDermitt Indian Reservation
1220,Fort McDowell Yavapai Nation Reservation
1235,Fort Mojave Reservation and Off-Reservation Trust Land
1250,Fort Peck Indian Reservation and Off-Reservation Trust Land
1260,Fort Pierce Reservation
1280,Fort Yuma Indian Reservation
1310,Gila River Indian Reservation
1340,Goshute Reservation
1355,Grand Portage Reservation and Off-Reservation Trust Land
1365,Grand Ronde Community and Off-Reservation Trust Land
1370,Grand Traverse Reservation and Off-Reservation Trust Land
1380,Greenville Rancheria
1395,Grindstone Indian Rancheria
1400,Guidiville Rancheria and Off-Reservation Trust Land
1410,Hannahville Indian Community and Off-Reservation Trust Land
1440,Havasupai Reservation
1450,Ho-Chunk Nation Reservation and Off-Reservation Trust Land
1460,Hoh Indian Reservation
1475,Hollywood Reservation
1490,Hoopa Valley Reservation
1505,Hopi Reservation and Off-Reservation Trust Land
1515,Hopland Rancheria and Off-Reservation Trust Land
1530,Houlton Maliseet Reservation and Off-Reservation Trust Land
1545,Hualapai Indian Reservation and Off-Reservation Trust Land
1550,Huron Potawatomi Reservation and Off-Reservation Trust Land
1555,Immokalee Reservation
1560,Inaja and Cosmit Reservation
1575,Indian Township Reservation
1590,Iowa (KS-NE) Reservation and Off-Reservation Trust Land
1610,Isabella Reservation
1625,Isleta Pueblo
1640,Jackson Rancheria
1655,Jamestown S'Klallam Reservation and Off-Reservation Trust Land
1670,Jamul Indian Village
1685,Jemez Pueblo
1690,Jena Band of Choctaw Reservation
1700,Jicarilla Apache Nation Reservation and Off-Reservation Trust Land
1720,Kaibab Indian Reservation
1735,Kalispel Reservation and Off-Reservation Trust Land
1750,Karuk Reservation and Off-Reservation Trust Land
1770,Kickapoo (KS) Reservation
1775,Kickapoo (TX) Reservation
1785,Klamath Reservation
1800,Kootenai Reservation and Off-Reservation Trust Land
1815,Lac Courte Oreilles Reservation and Off-Reservation Trust Land
1825,Lac du Flambeau Reservation
1830,Lac Vieux Desert Reservation
1840,Laguna Pueblo and Off-Reservation Trust Land
1850,La Jolla Reservation
1860,Lake Traverse Reservation and Off-Reservation Trust Land
1880,L'Anse Reservation and Off-Reservation Trust Land
1895,La Posta Indian Reservation
1915,Las Vegas Indian Colony
1925,Laytonville Rancheria
1940,Leech Lake Reservation and Off-Reservation Trust Land
1955,Likely Rancheria
1960,Little River Reservation and Off-Reservation Trust Land
1963,Little Traverse Bay Reservation and Off-Reservation Trust Land
1970,Lone Pine Reservation
1980,Lookout Rancheria
1995,Los Coyotes Reservation
2015,Lovelock Indian Colony
2030,Lower Brule Reservation and Off-Reservation Trust Land
2040,Lower Elwha Reservation and Off-Reservation Trust Land
2055,Lower Sioux Indian Community
2070,Lummi Reservation
2075,Lytton Rancheria
2085,Makah Indian Reservation
2100,Manchester-Point Arena Rancheria
2115,Manzanita Reservation and Off-Reservation Trust Land
2130,Maricopa (Ak Chin) Indian Reservation
2145,Mashantucket Pequot Reservation and Off-Reservation Trust Land
2150,Match-e-be-nash-she-wish Band of Pottawatomi Reservation
2175,Menominee Reservation and Off-Reservation Trust Land
2190,Mesa Grande Reservation
2205,Mescalero Reservation
2240,Miccosukee Reservation and Off-Reservation Trust Land
2255,Middletown Rancheria
2270,Mille Lacs Reservation and Off-Reservation Trust Land
2285,Minnesota Chippewa Trust Land
2300,Mississippi Choctaw Reservation
2315,Moapa River Indian Reservation
2320,Mohegan Reservation and Off-Reservation Trust Land
2330,Montgomery Creek Rancheria
2340,Mooretown Rancheria and Off-Reservation Trust Land
2360,Morongo Reservation and Off-Reservation Trust Land
2375,Muckleshoot Reservation and Off-Reservation Trust Land
2400,Nambe Pueblo and Off-Reservation Trust Land
2415,Narragansett Reservation
2430,Navajo Nation Reservation and Off-Reservation Trust Land
2445,Nez Perce Reservation
2460,Nisqually Reservation
2475,Nooksack Reservation and Off-Reservation Trust Land
2490,Northern Cheyenne Indian Reservation and Off-Reservation Trust Land
2495,North Fork Rancheria and Off-Reservation Trust Land
2505,Northwestern Shoshone Reservation
2510,Ohkay Owingeh
2535,Oil Springs Reservation
2550,Omaha Reservation
2555,Oneida Nation Reservation
2560,Oneida (WI) Reservation and Off-Reservation Trust Land
2570,Onondaga Nation Reservation
2580,Ontonagon Reservation
2595,Osage Reservation
2625,Paiute (UT) Reservation
2635,Pala Reservation
2680,Pascua Pueblo Yaqui Reservation
2685,Paskenta Rancheria
2695,Passamaquoddy Trust Land
2715,Pauma and Yuima Reservation
2745,Pechanga Reservation
2760,Penobscot Reservation and Off-Reservation Trust Land
2775,Picayune Rancheria and Off-Reservation Trust Land
2785,Picuris Pueblo
2810,Pine Ridge Reservation
2820,Pinoleville Rancheria
2835,Pit River Trust Land
2850,Pleasant Point Reservation
2865,Poarch Creek Reservation and Off-Reservation Trust Land
2890,Pokagon Reservation and Off-Reservation Trust Land
2900,Ponca (NE) Trust Land
2910,Port Gamble Reservation
2925,Port Madison Reservation
2980,Prairie Band of Potawatomi Nation Reservation
2985,Prairie Island Indian Community and Off-Reservation Trust Land
2990,Pueblo of Pojoaque and Off-Reservation Trust Land
3000,Puyallup Reservation and Off-Reservation Trust Land
3010,Pyramid Lake Paiute Reservation
3020,Quartz Valley Reservation and Off-Reservation Trust Land
3030,Quileute Reservation
3040,Quinault Reservation
3070,Ramona Village
3085,Red Cliff Reservation and Off-Reservation Trust Land
3095,Redding Rancheria
3100,Red Lake Reservation
3115,Redwood Valley Rancheria
3130,Reno-Sparks Indian Colony
3145,Resighini Rancheria
3165,Rincon Reservation
3185,Roaring Creek Rancheria
3195,Robinson Rancheria and Off-Reservation Trust Land
3205,Rocky Boy's Reservation and Off-Reservation Trust Land
3220,Rohnerville Rancheria
3235,Rosebud Indian Reservation and Off-Reservation Trust Land
3250,Round Valley Reservation and Off-Reservation Trust Land
