FID	Area_Name	ASU_CODE	STATE	STATE_FIPS	SERVICE_UN	SERVICE__1	updated_at	Shape_STAr	Shape_STLe
1	GREAT PLAINS	1009	SD	46	Rapid City	1009		13904637722	744778.6165
2	GREAT PLAINS	1010	SD	46	Cheyenne River	1010		60103339571	1577769.633
3	GREAT PLAINS	1011	SD	46	Flandreau	1011		2615379536	204427.2189
4	GREAT PLAINS	1012	ND	38	Fort Berthold	1012		70907627893	1506014.874
5	GREAT PLAINS	1013	ND	38	Spirit Lake	1013		25373957293	754931.017
6	GREAT PLAINS	1014	SD	46	Crow Creek	1014		22424963989	922389.0034
7	GREAT PLAINS	1015	SD	46	Pine Ridge	1015		60070269933	1372688.911
8	GREAT PLAINS	1016	SD	46	Rosebud	1016		54941085965	1436570.95
9	GREAT PLAINS	1017	MN	27	Sisseton-Wahpeton	1017		39352535453	1051193.747
10	GREAT PLAINS	1018	ND	38	Standing Rock	1018		76354051894	1475166.035
11	GREAT PLAINS	1019	ND	38	Turtle Mountain	1019		5616765829	307339.2318
12	GREAT PLAINS	1020	NE	31	Winnebago	1020		7764718406	501728.9366
13	GREAT PLAINS	1021	SD	46	Yankton	1021		17188736150	818633.2361
14	GREAT PLAINS	1022	SD	46	Lower Brule	1022		16287497467	939506.3155
15	GREAT PLAINS	1038	NE	31	Omaha	1038		12262421035	599353.3846
16	GREAT PLAINS	1533	IA	19	Sac & Fox	1533		3403541507	234942.177
17	GREAT PLAINS	1536	ND	38	Trenton	1536		20299220230	674842.1847
18	GREAT PLAINS	1537	NE	31	Northern Ponca	1337		32849340538	1738561.382
19	GREAT PLAINS	1542	NE	31	Santee Sioux Tribe	1542		5431835364	343385.4411
20	ALASKA	 	AK	2	Ketchikan	3130		9271626198	1282526.927
21	ALASKA	3031	AK	2	Anchorage	3031		1.69911E+12	44224681.41
22	ALASKA	3032	AK	2	Barrow	3032		1.71918E+12	14123770.71
23	ALASKA	3033	AK	2	Yukon-Kuskokwim Delta	3033		7.92495E+11	10307284.3
24	ALASKA	3034	AK	2	Bristol Bay	3034		6.21153E+11	10963824.38
25	ALASKA	3035	AK	2	Kotzebue	3035		7.63363E+11	7922294.272
26	ALASKA	3036	AK	2	Mt. Edgecumbe	3036		3.11998E+11	34881600.53
27	ALASKA	3037	AK	2	Interior Alaska	3037		1.8992E+12	9146595.298
28	ALASKA	3039	AK	2	Norton Sound	3039		3.31517E+11	9657954.015
29	ALBUQUERQUE	2021	NM	35	Albuquerque	2128		3470279786	744180.4589
30	ALBUQUERQUE	2022	NM	35	Acoma-Canoncito-Laguna	2123		4533707079	665612.6303
31	ALBUQUERQUE	2023	NM	35	Mescalero	2023		2663224977	239974.6389
32	ALBUQUERQUE	2024	NM	35	Santa Fe	2132		1960862407	547059.2878
33	ALBUQUERQUE	2025	NM	35	Zuni-Ramah	2025		4236123255	428043.7741
34	ALBUQUERQUE	2026	CO	8	Southern Colorado Ute	2026		7438201151	655600.4245
35	ALBUQUERQUE	2027	TX	48	Ysleta Del Sur Pueblo	2027		19957547328	699240.3488
36	ALBUQUERQUE	2028	NM	35	Jicarilla	2028		5466986693	593844.0034
37	ALBUQUERQUE	2029	NM	35	Taos-Picuris	2143		710207054.9	215607.9173
38	BEMIDJI	1126	MN	27	Leech Lake/Red Lake	1327		34311867655	1110278.412
39	BEMIDJI	1132	MN	27	Red Lake/White Earth	1332		70412156226	2320340.075
40	BEMIDJI	1135	MN	27	White Earth	1135		16249338690	669986.4804
41	BEMIDJI	1822	WI	55	Central Wisconsin/Nicolet	1822		79589471857	2636546.768
42	BEMIDJI	1823	MI	26	Eastern Michigan/Western Michigan	1823		1.76816E+11	6796112.279
43	BEMIDJI	1824	MN	27	Fond du Lac/Nett Lake - Bois Ft	1824		43191767400	1077130.665
44	BEMIDJI	1825	MN	27	Grand Portage	1825		9321695534	557785.9812
45	BEMIDJI	1827	WI	55	Northwestern Wisconsin	1827		35416376100	1621105.088
